title,genre,director,rating
Jhalki,"In a twinkle of an eye, a life-altering disappearance of her 7-year old kid brother sets Jhalki off on a mission to find him at all costs.",Brahmanand S. Singh,6.9
Delhi Safari,A group of animals plan a trip to Delhi in order to ask the parliament why the forest they live in is on the verge of destruction.,Nikkhil Advani,5.4
Hawaa Hawaai,Arjun dreams of skating. Can Arjun follow his dream and be a champion?,Amole Gupte,7.3
Madam Chief Minister,The right of a woman to live with dignity has always been at crossroads with society's norms.,Subhash Kapoor,4.8
Sixteen,"Welcome to sixteen's world. A world where growing up has speeded up multifold times. Once upon a time, it was the age of innocence, the age of sweetness, the age when one had the first ...                See full summary »",Raj Purohit,6.3
Aa Ab Laut Chalen,Rohan Khanna leaves India hoping for a better life in America.,Rishi Kapoor,5.3
Sangam,"Returning home from war after being assumed dead, a pilot weds the woman he has long loved, unaware that she had been planning to marry his best friend.",Raj Kapoor,7.3
Dil Ka Rishta,"A man faces a dilemma after he accidentally kills his lover's fiancee and hides this secret from her, not knowing that it may create a rift in their lives.",Naresh Malhotra,4.8
Arjun: The Warrior Prince,"Arjun, a Pandava, learns the art of warfare from Drona and becomes his most skilled student. Meanwhile, Duryodhana and his uncle, Shakuni, conspire to win over everything that belongs to the Pandavas.",Arnab Chaudhuri,6.8
Alone,A supernatural mystery about a young woman whose dead sister relentlessly haunts her.,Bhushan Patel,3.7
Khubsoorat,A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.,Hrishikesh Mukherjee,7.6
Amar Prem,A village woman abandoned by her husband is forced into prostitution in Kolkata and forms nameless yet strong relations with a wealthy patron as well as an abused boy in the neighbourhood.,Shakti Samanta,8.0
Yeh Lamhe Judaai Ke,"Dushyant and Jaya are childhood friends. In spite of his familys poverty, Dushyant has one great ambition in life: to become a successful singer. Will he achieve his ambition?",Pavan Kaul,3.1
Aur Pappu Pass Ho Gaya,"Day-dreamer Pappu lives a poor lifestyle with his mom and dad in a village in India. In order to better his prospects, he re-locates to Bombay and finds a job as a mechanic in Sardar Tara ...                See full summary »",S. Soni,4.1
Naseeb,A lottery ticket changes the lives of four friends.,Manmohan Desai,7.1
Ardh Satya,"A newly appointed police rookie deals with corruption, romance, and brutality.",Govind Nihalani,8.1
"Road, Movie",A young man's journey across the mythic Indian landscape becomes a life changing odyssey.,Dev Benegal,6.8
Army,"Arjun, a newlywed Army man, is brutally killed by a gangster, Nagraj. His young widow, determined to avenge her husband's death, raises an army of dedicated young men to kill the gangster.",Raam Shetty,4.3
Mohalla Assi,A Sanskrit priest decides to take matters in n his hand when the locals of holy town Banaras stars to lure foreign tourists with fake spiritual gurus.,Chandra Prakash Dwivedi,6.6
1920 London,"After her husband is possessed by an evil spirit, a woman turns to her former lover to perform an exorcism.",Dharmendra Suresh Desai,4.1
Aks,"Raghavan Ghatge, a psychotic terrorist, and Manu Verma, the cop who tracks him down, shoot each other simultaneously, the result being that Raghavan's soul is transferred into Verma's body and vice versa.",Rakeysh Omprakash Mehra,5.8
Halahal,The Murder of a college girl morphed into a suicide takes Dr. Shiv on a journey to dig the truth out of his daughter's murder.,Randeep Jha,7.0
Veergati,"A gangster and his flunkies abduct and kill a man's daughter. Soon, the man's adopted son sets out to avenge her death.",K.K. Singh,5.9
Tigers,"Ayan, a pharmaceutical salesman in Pakistan, takes on the multinational health care corporation he works for after he realizes they knowingly marketed a baby formula that's responsible for the death of hundreds of babies everyday.",Danis Tanovic,7.2
P Se Pyaar F Se Faraar,"High-school sweethearts Suraj Maali and Janvi Singh are well aware of their diverse socio-economic backgrounds and so, the young lovers opt for marriage by elopement. This, in turn, conjures up a storm the couple isn't prepared for.",Manoj Shidheshwari Tiwari,6.4
Nishabd,"A man, who has been married for 27 years, falls in love with his 18-year-old daughter's friend.",Ram Gopal Varma,5.4
Diljale,A patriotic young man turns into a terrorist to avenge his father's humiliation.,Harry Baweja,5.8
Chittagong,"School kids organize an armed revolt in the 1930s in British occupied Chittagong. There are casualties on both sides. Later, one of those kids successfully leads the peasants to regain their food-grains earlier commandeered by the British.",Bedabrata Pain,7.2
Chameli Ki Shaadi,"A man lives a poor lifestyle in a small town with his older brothers. He is unemployed and commits himself to be a wrestler, but he has to promise to be celibate until he is 40 years old.",Basu Chatterjee,7.5
Collar Bomb,"A glorified cop's life is thrown into chaos as he is forced to commit a series of crimes before a suicide bomber blows up a school. As he races against time, he's confronted by an evil that is hell-bent on striking raw, primal terror.",Dnyanesh Zoting,5.0
Oh Darling Yeh Hai India,Miss India and an aspiring actor spend a night together roaming the streets of Mumbai and unwittingly clash paths with a megalomaniacal gangster planning to take over India.,Ketan Mehta,4.0
Namak Haraam,"Somnath (Somu) lives in a shanty house in a Delhi slum with his widowed mom, and unmarried sister, Sarla. He is friendly with Calcutta-based wealthy Vikram (Vicky) Maharaj. When Vicky's dad...                See full summary »",Hrishikesh Mukherjee,7.2
Tum Mile,Two former lovers experience life-threatening floods in Mumbai.,Kunal Deshmukh,5.0
Kadakh,"Sunil is home alone when the doorbell rings. The stranger at the door is the husband of Chhaya, a woman that Sunil is having an affair with. The man asks many uncomfortable questions about their affair, becoming more and more intrusive.",Rajat Kapoor,6.9
Ek Ajnabee,"Suryaveer, an ex-army officer, is assigned the task of protecting a young girl, Anamika. When Anamika gets kidnapped, he decides to use all his skills to rescue her.",Apoorva Lakhia,5.3
Main Aur Charles,"After escaping from prison, a notorious serial killer and conman becomes the target of a nationwide manhunt led by an honest police officer determined to catch him.",Prawaal Raman,6.2
Sahib Bibi Aur Ghulam,"A lowly servant, Bhognath gets close to the wife of his employer and narrates her story through his eyes and perspective.",Abrar Alvi,8.1
The Xpose,"This is a dramatic chain of events in the most glamorous ,swinging era of Hindi films... the 1960s. It was a decade when film stars tasted success and carried their larger than life screen ...                See full summary »",Anant Mahadevan,3.3
Dosti,"Mr. Gupta passes away after an accident while on duty, leaving behind his ailing wife and school-going son, Ramnath. Both await for some compensation, and when they are informed that the ...                See full summary »",Satyen Bose,8.4
Aap Kaa Surroor: The Moviee - The Real Luv Story,A wealthy woman falls in love with a rock-star who will soon get arrested for Murder.,Prashant Chadha,2.3
Dum,"When one of his colleagues becomes corrupted by power and goes over to the dark side, a young police officer tries to bring the offender to justice.",Eeshwar Nivas,5.6
Ek Rishtaa: The Bond of Love,"Vijay Kapoor, a wealthy businessman and his family are deceived by Rajesh, Vijay Kapoor's employee and son in law. A struggle begins by both father-son duos to regain their business and position.",Suneel Darshan,5.2
Ziddi,"It is the story of a hot-tempered and stubborn man Deva, who is feared because of his ruthless ways and severe punishment to the local hoodlums. Later, Deva avenges the death of his brother and sister.",Guddu Dhanoa,5.9
Chalti Ka Naam Gaadi,Three woman-hating brothers face changes in their respective lifestyles when two of them fall in love.,Satyen Bose,7.9
Tu Hai Mera Sunday,"When their Sunday soccer game on the beach is canceled, five friends set out to find another place to play in the noisy, crowded city of Mumbai.",Milind Dhaimade,7.7
"Gandhi, My Father",The account of troubled relationship between Mahatma Gandhi and his eldest son.,Feroz Abbas Khan,7.3
Aashiq Banaya Aapne: Love Takes Over,"An introvert is unable to express his feelings to the girl he loves. His friend proposes to her and she accepts, but leaves him when she discovers he is a flirt; however, destiny has other plans.",Aditya Datt,4.3
Chaalbaaz,"Twins separated at infancy are brought up differently. One weak, one strong. One day, they end up at each others house. Their life is not the same anymore.",Pankaj Parashar,6.8
Hum Aapke Dil Mein Rehte Hain,"Not knowing what consequences she would face, a woman signs a 1-year marriage contract with a business tycoon to end her family's poverty.",Satish Kaushik,5.5
Love Ke Liye Kuch Bhi Karega,"Desperate for money, three men (Saif Ali Khan, Fardeen Khan) plot to kidnap a woman (Sonali Bendre) and hold her for ransom.",Eeshwar Nivas,6.0
House Arrest,A world-weary man's self-imposed home confinement becomes a comedy of errors with the simultaneous arrivals of a peculiar package and a curious journalist.,Samit Basu,5.5
Traffic Signal,Traffic Signal is a Madhur Bhandarkar movie that reveals the truth behind the multimillion dollar begging Industry in India.,Madhur Bhandarkar,6.6
Dil Aashna Hai (...The Heart Knows),"Laila, brought up in a brothel, is a cabaret dancer in Digvijay Singh's five star hotel. One day, her dying mother informs her that she is adopted. Laila is aided by Karan in her search for the mother.",Hema Malini,4.9
Baaghi: A Rebel for Love,"A saga of love as a man turns rebellious and goes against his family and society to protect his love, a prostitute from evil.",Deepak S. Shivdasani,5.8
Family of Thakurganj,The film is based on small town of North India. Film's story is about confrontation of love and thoughts. Along with entertainment.,Manoj K. Jha,8.7
Khushi,"Karan and Khushi fall in love, but her conservative family balks at accepting Karan's modern ideas.",S.J. Suryah,4.2
Nyay: The Justice,"The film revolves around a boy called Mahinder who comes to tinsel town with the youthful innocence and exuberance associated with small towns. His sheer perseverance, dexterity and ...                See full summary »",Dilip Gulati,1.0
American Desi,"College freshman Krishna Reddy, who has never cared for his Indian-American cultural heritage, looks forward to a new life on campus but is surprised to find that he has been assigned ...                See full summary »",Piyush Dinker Pandya,6.6
Koshish,A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.,Gulzar,8.4
Union Leader,"Resigned to his fate as a worker in a notoriously shoddy chemical plant, Jay realizes that he must not only find a way to support his family, but also overcome grave social and legal injustice in the system.",Sanjay Patel,7.2
Hate Story IV,"Aryan and Rajveer, sons of a wealthy businessman, Vikram Khurana, fall in love with the same woman, Tasha. Not only do they commit a deed they cannot undo but also end up as targets in a revenge plan.",Vishal Pandya,3.3
Dus Kahaniyaan,"An anthology of ten short films dealing with diverse subjects such as infidelity, companionship, lust and a spectrum of human emotions.",Meghna Gulzar,5.7
Jabariya Jodi,A thug helps kidnap grooms in order to avoid paying out dowries for their upcoming marriage.,Prashant Singh,3.9
Lakshmi,"Based on true events, Lakshmi is a story of heroism and untold courage. Lakshmi, a 13 year old girl is kidnapped and sold into prostitution. Thrown into this horrific, inhuman world where ...                See full summary »",Nagesh Kukunoor,7.9
Ab Tumhare Hawale Watan Saathiyo,Kunal unwillingly joins the army to maintain his family's tradition and soon finds himself fighting ruthless terrorists who want to destroy the peace and harmony between India and Pakistan.,Anil Sharma,4.4
200: Halla Ho,"Loosely based on a real incident, 200: Halla Ho is the story of women, terrorised by a mobster whose gang raped, robbed, terrorised and murdered 300 families for 15 years until he met his nemesis in a young Dalit girl.",Sarthak Dasgupta,7.5
Waqt Hamara Hai,Two prankster best friends gets unwittingly involved in a terrorist plot and tries their best to save the country.,Bharat Rangachary,5.9
Kachche Dhaage,Two stepbrothers who loathe each other have to work together to avoid being framed for terrorist activities.,Milan Luthria,6.0
All Is Well,A musician finds himself on the run from a group of thugs with his friend and his estranged parents.,Umesh Shukla,3.5
China Gate,10 old exiled army men decide to free a village from an evil bandit,Rajkumar Santoshi,6.6
Ahista Ahista,"An acting marriage witness Ankush falls in love with a girl who has been betrayed by her lover. When he returns back, Ankush tries his best to save his relationship.",Shivam Nair,6.9
Zubeidaa,"Zubeidaa, an aspiring Muslim actress, marries a Sikh prince to become his second wife. Her tumultuous relationship with her husband, and her inner demons lead her to a decision which has fatal consequences for them all.",Shyam Benegal,6.5
Zameen,"Colonel Ranvir and ACP Jaideep joins forces to fight against Pakistani terrorists, who hijacks an Indian airplane and demands to free their militant leader in return.",Rohit Shetty,5.4
The Burning Train,A dedicated railway employee's plan to introduce an express train result in sabotage.,Ravi Chopra,6.9
Eeb Allay Ooo!,A young migrant battles hordes of monkeys in the heart of New Delhi as a contractual monkey repeller.,Prateek Vats,7.2
Gumnaam,"Eight people are stranded on an island. They reach a mansion where a butler is awaiting them. Then an unknown, vengeful person starts killing them, one by one.",Raja Nawathe,6.9
Do Lafzon Ki Kahani,Centered on ex-mixed martial arts artist Sooraj (Randeep Hooda) and sculptor artist Jenny (Kajal Aggarwal). Their fate intertwines when their past are revealed in their blooming relationship.,Deepak Tijori,6.4
Aarzoo,"After her fiance, Vijay, is killed in a crash, a pregnant Pooja agrees to marry Amar, her childhood friend who has always loved her. But her life takes yet another turn when Vijay returns to her life.",Lawrence D'Souza,5.0
Kaalia,"Jailed for robbing his brother's unscrupulous employer, a simpleton has a transformation while in prison, emerging with a violent mission for revenge.",Tinnu Anand,6.7
Poster Boys,Life of three men comes in trouble when their photos appear on advertisement for sterilization.,Shreyas Talpade,5.4
Indu Sarkar,Indu Sarkar is set during the emergency period between 1975 to 1977 declared by Prime Minister Indra Gandhi.,Madhur Bhandarkar,5.9
Luv Ka the End,"Rhea, the girl next door falls in love with Luv Nanda, only to find out he is not as nice as she thought he was. She decides to get even with Luv Nanda.",Bumpy,4.8
Blood Money,"A young man elopes with the girl he loves and moves to South Africa, where he works in the diamond-exporting business. Slowly, he is pulled into the underworld.",Vishal Mahadkar,5.0
Bhonsle,"Bhonsle is a retired policeman and is living a non-interfering life in a colony dominated by locals, diagnosed with stage 4 brain tumor. When the migrant resident politics take a nasty turn, he chooses to take a stance and deal with it.",Devashish Makhija,6.8
Sirf Tum,"Deepak returns Aarti's lost-in-transit luggage. The two start communicating via letter. They fall in love and rural/suburban Aarti comes to the city to look for Deepak, whom she had sent a handwoven pullover.",Ahathian,6.2
Noor,"The jumbled up, crazy and happening life of journalist Noor takes a dramatic turn when she comes across a news breaking cover story.",Sunhil Sippy,4.0
Teen Patti,A disgraced professor recounts his career and involvement with gambling.,Leena Yadav,4.2
Kanpuriye,"The story revolves around the story of three boys from the small town of Kanpur, who have big dreams, and even bigger challenges.",Ashish Aryan,6.1
Shimla Mirchi,"While on holiday, Avi meets Naina and falls in love with her. Smitten, he decides to stay and work in her cafe. He confesses his love in a letter, however it's Naina's mother who mistakenly reads it.",Ramesh Sippy,4.6
Woh lamhe...,"Based upon the life of actress Parveen Babi, this film describes the life of schizophrenic actress Sana Azim and the love of her life: Aditya Garewal.",Mohit Suri,6.6
Ijaazat,"Meeting accidentally five years after their divorce, a couple reflects on how their marriage collapsed despite transparency.",Gulzar,8.4
Ram Singh Charlie,A Lovely Little Film About A Family Of Circus Artistes.,Nitin Kakkar,7.9
Ankur,"Belonging to a lower caste, Lakshmi and her deaf-mute husband Kishtayya serve the landlord's son, Surya. When Surya's young wife finds out about his affair with Lakshmi, they all find themselves at crossroads.",Shyam Benegal,7.8
Chain Kulii Ki Main Kulii,"An orphan kid who goes on to achieve name, fame and above all self belief.",Karanjeet Saluja,5.7
Ajji,Little Manda is found raped and dumped in a trash heap near her slum. Her parents are more concerned with survival than dignity. The cops are powerless to help as the rapist is a local ...                See full summary »,Devashish Makhija,7.0
Deewaar: Let's Bring Our Heroes Home,A group of Indian POW (Prisoners Of War) rebels against Pakistani army and tries to escape from their captivity during India-Pakistan war in 1971.,Milan Luthria,6.0
Takkari Donga,Outlaw in the Indian (not Native American) wild west shoots it out with bad guys over a girl and a diamond mine.,Jayant Paranji,6.6
Aandhi,"J.K. is a hotel Manager in a scenic location in India. One day he gallantly comes to the rescue of a drunk daughter, Aarti, of a politician, and chooses to be discrete about it. When she ...                See full summary »",Gulzar,7.9
Fight Club: Members Only,"Four college friends starts an underground fight club in order to earn quick money, nevertheless they become suspects of a murder of a man, who turns out to be the mob boss' brother.",Abhay Chopra,3.5
Budhia Singh: Born to Run,"A biopic about Budhia Singh, the world's youngest marathon runner whose story garnered controversy and inspiration around the world.",Soumendra Padhi,7.6
Prassthanam,A rural politician marries a widow with kids and gains a respectable position. He trusts his stepson more than his own in political matters; thus upsetting his son beyond limits.,Deva Katta,5.8
Talaash: The Hunt Begins...,-The Hunt Begins- For them it was revenge. For him it was a challenge. A timeless ride on a ferocious mission.,Suneel Darshan,4.3
Roadside Romeo,"This is the story of Romeo. A dude who was living the life. He had the works - the mansion to live in, the chicks to party with and the cars to be driven around in. Until one day, the ...                See full summary »",Jugal Hansraj,4.9
Kirket,"The story of how one man, single-handedly changed the state of the Bihar Cricket Board for good, and gave the sport a major boost in the state.",Yogendra Singh,8.2
Saajan Chale Sasural,A village-based singer attempts to find love and fame in the big city.,David Dhawan,5.9
Love,"Prithvi and Maggie fall in love and decide to get married, but Maggie's mother objects looking at Prithvi's past.",Suresh Krishna,6.0
Umrika,"An ambitious man leaves his small Indian village for America. But when his letters to home stop coming, his brother sets out on his own adventure.",Prashant Nair,6.6
Poorna,An Adivasi 13-year-old from Telangana becomes the youngest girl in history to climb Mount Everest.,Rahul Bose,7.7
Swarg,"Krishna is very loyal to his master and treats him like God. Unfortunately, he gets thrown out of the house and the master becomes a pauper. But loyal Krishna returns to change things for the master.",David Dhawan,6.7
Policegiri,DCP Rudra faces a bunch of challenges after he locks horns with a notorious criminal Nagori Subramanium.,K.S. Ravikumar,4.1
Phool Aur Kaante,"A young man who despises his father's criminal profession, wants to live a peaceful life away from him but fate has some other plans.",Kuku Kohli,5.9
Hacked,A young woman finds her life turned upside down when she rejects the advances of a teenage hacker.,Vikram Bhatt,4.3
Disco Dancer,"After years of honest work a talented amateur singer becomes a famous professional, but an old enemy of his family is envious of his success.",Babbar Subhash,6.5
Naqaab,"Sophia is engaged to millionaire Karan, who is completely in love with her. She, however, finds true love in Vicky and gets into a relationship that causes problems between her and Karan.",Abbas Alibhai Burmawalla,5.4
Tony,"Four psychology students plant a camera in a church's confession box and come across a serial killer confessing to murder to the priest. Life takes a bizarre turn when they meet TONY, the serial killer and go on a murdering spree with him.",Vipul K. Rawal,7.7
Shabd,"When a novelist seeks inspiration by urging his wife to have an affair, the line between his story and reality is blurred.",Leena Yadav,5.1
Arjun Patiala,"This spoof comedy narrates the story of a cop Arjun Patiala (Diljit Dosanjh) and his sidekick Onidda Singh (Varun Sharma). Together, will they be able to accomplish their mission of a crime-free town with their goofy style of policing?",Rohit Jugraj,4.3
Creature,A newly-opened forest lodge finds itself under attack from a recently awakened creature.,Vikram Bhatt,3.1
Ek Doctor Ki Maut,"After years of painstaking research at the cost of his domestic pleasure, Dr. Dipankar Roy discovers a vaccine for leprosy. The news is flashed over television and overnight, an ...                See full summary »",Tapan Sinha,8.3
Hum Kisi Se Kum Nahin,"Munna Bhai, a dreaded Mumbai gangster, falls in love with a young woman named Komal. Things go hilariously awry when Munna sets out to marry her and has to fight off Dr. Rastogi, her brother, and Raja, her vagabond boyfriend.",David Dhawan,4.2
Madhumati,"A young man takes shelter in a mansion when a landslide blocks his route to the railway station. Then, he finds the mansion familiar and soon learns about the story of his previous birth.",Bimal Roy,7.8
Saudagar,Two clan chiefs who have maintained a blood feud for decades have to contend with the romance between their respective grandchildren.,Subhash Ghai,6.6
Arth,A film-maker who is having an extra-marital affair with an actress decides to leave his wife. Arth is the story of this women's search for her identity.,Mahesh Bhatt,7.8
Ab Tak Chhappan 2,A retired policeman returns to his job to fight a crime wave that was once responsible for leaving his son without a mother.,Ejaz Gulab,5.7
Chhappad Phaad Ke,"Chappad Phaad Ke is a satirical look at the consumerism and hypocrisy that engulfs us in our daily lives, set in the background of a typical middle class Maharashtrian family. The Gupchup ...                See full summary »",Sameer Joshi,6.3
Aakhree Raasta,An ex-convict is bent on revenge against the people responsible for his wrongful imprisonment but is pit against his estranged son who is now a police officer.,Bhagyaraj,7.0
Karam,"A guilt-ridden hit man tries to quit his job after a traumatic killing, before his boss kidnaps his wife in order to make him do one last job.",Sanjay F. Gupta,5.7
Aamdani Atthanni Kharcha Rupaiya,"In order to make ends meet, three women steps out from their houses for earning. However, this irks their jobless husbands who can go to extreme lengths to stop them.",K. Raghavendra Rao,4.7
Sadda Adda,"'The only thing that will stop you from fulfilling your dreams is you"" People have dreams, but not all of us have the guts to put faith in ourselves. Most of us lose focus and give up. We ...                See full summary »",Muazzam Beg,7.1
Dev,"Joint Commissioner of Police Dev Pratap Singh, a duty-bound, self-righteous officer, and Special Commissioner Tejinder Khosla, the balancing force between the political interests of Chief ...                See full summary »",Govind Nihalani,6.7
Tu Chor Main Sipahi,A police officer and a master thief join forces in order to free a village from the clutches of an evil landowner.,Guddu Dhanoa,5.1
Irada,An NIA officer tries to unravel the conspiracy that led to the bombing of a business tycoon's factory.,Aparnaa Singh,6.2
Vodka Diaries,"In the misty town of Manali, ACP Ashwini Dixit attempts to solve a series of mysterious murders happening in a single night, which might be connected to the night club, Vodka Diaries.",Kushal Srivastava,5.5
Cobalt Blue,"When a brother and sister fall in love with the same man, ensuing events shatter a traditional Marathi family. Based on Sachin Kundalkar's novel.",Sachin Kundalkar,6.6
Mr. Natwarlal,"Natwar is just a young boy when his beloved older brother and caretaker, police officer Gridharilal (Ajit), is framed for bribery by sinister criminal mastermind Vikram (Amjad Khan). When ...                See full summary »",Rakesh Kumar,6.5
Mirch Masala,"In colonial India, subedars (tax collectors) went from village to village with soldiers, often demanding more than taxes. A subedar commands Sonbai, a beautiful and confident woman whose ...                See full summary »",Ketan Mehta,7.7
Badal,"Badal (Bobby Deol) is a victim of the 1984 riots, brought up by a terrorist (Ashish Vidyarthi). Badal lives with the sole aim of exterminating a police cop Rana (Ashutosh Rana) now the DGP....                See full summary »",Raj Kanwar,5.0
Zila Ghaziabad,"In the city of Ghaziabad, gang war breaks between two rival groups led by Satbir Singh and Fauji. Thakur Pritam Singh, a corrupt police officer, is transferred to the city to handle the situation.",Kumar Anand,3.6
Dhaai Akshar Prem Ke,"Karan Khanna is an orphan and a captain in the Rajputana Armed Forces. He's madly in love with beautiful model Nisha, with whom he plans to tie the knot during his next leave. On the way to...                See full summary »",Raj Kanwar,3.5
Saawan... The Love Season,Raj and Kajal lives are shattered when a man with supernatural ability predicts that Kajal will die.,Saawan Kumar Tak,2.8
Insan,"A police offer is hellbent to arrest a notorious terrorist who is planning to destroy Mumbai, as well as to settle a personal score with him.",K. Subhash,4.5
Bheja Fry 2,A tax-evading businessman and an income-tax officer get stranded on an isolated island.,Sagar Ballary,4.7
Run,"This action movie is filled with romance and adventure. As Abhisek fights for his life against the forces of crime and injustice, he meets Bhoomika, who captures his heart.",Jeeva,4.9
Haan Maine Bhi Pyaar Kiya,Shiv (Abhishek Bachchan) and Pooja (Karisma Kapoor) are happily married to each other but sometimes can get into the most petty arguments coming from the way they approach life. Shiv takes ...                See full summary »,Dharmesh Darshan,3.6
Happy Phirr Bhag Jayegi,"Harpreet Kaur, a woman who travels to China to find her fiance, gets mistakenly kidnapped by some thugs whose assignment was to abduct another woman of the same name travelling by the same flight.",Mudassar Aziz,4.5
Happy Hardy and Heer,"Happy and Heer grow up as best friends, with Happy falling for Heer over the years. When she moves to London, Happy goes with her on the pretext of getting a job. He hopes that she will ...                See full summary »",Raka,5.6
Waqt,"Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected.",Yash Chopra,7.6
Sanam Bewafa,"Salman falls in love with Ruksar but their fathers, despite being neighbours, are sworn enemies. The couple end up marrying but they are shocked when they finally discover the reason why their fathers allow the marriage to take place.",Saawan Kumar Tak,5.2
Meri Jung,Two top lawyers battle against each other while the whole city witnesses the battle.,Subhash Ghai,7.2
Always Kabhi Kabhi,"A story centered on four students coming of age during a year at their school, St. Marks.",Roshan Abbas,4.1
Aflatoon,"Trouble ensues when Raja is framed for crimes that actually committed by his evil lookalike Rocky, and the former must prove his innocence and eliminate his nemesis.",Guddu Dhanoa,4.5
Jayantabhai Ki Luv Story,"Jayantabhai is a street-thug and small time gangster, who unexpectedly falls in love with his enemy, who is Simrin. A romantic caper about how people unknowingly fall in love with people they least expect to.",Vinnil Markan,5.3
Flight,"The movie follows the journey of Ranveer Malhotra, who against all the odds, has to face deadly obstacles on a plane in order to survive.",Suraj Joshi,5.7
Mili,"A reclusive, depressed man and a bubbly young woman fall in love but then find out that she has cancer.",Hrishikesh Mukherjee,7.4
Ammaa Ki Boli,Interesting story about the series of events that transpire when one member of a large family purchases a scooter and a couple of his friends take it for a ride.,Narayan Chauhan,7.2
Yeh Majhdhaar,"Judge Krishna (Rahul Roy) and Radha (Manisha Koirala) are in love. Due to class conflicts, they are unable to marry, but continue with a very intimate relationship, which results in Radha ...                See full summary »",Esmayeel Shroff,5.2
Phoonk,An atheist is forced to consult an exorcist after his daughter shows signs of being possessed.,Ram Gopal Varma,3.9
Khamoshiyan,"An erotic love triangle revolving around a writer adrift in the icy slopes of Kashmir where he discovers a woman with a strange, silent past.",Karan Darra,3.9
Khelein Hum Jee Jaan Sey,Children who are not allowed by the oppressive British colonists to play football decide to join a group of freedom fighters.,Ashutosh Gowariker,5.8
Vishwatma,"A cop and a criminal, both on their respective missions of duty and revenge, go from India to Kenya in order to extradite a reclusive crime lord to India.",Rajiv Rai,6.4
Yeh Ballet,"Discovered by an eccentric ballet master, two gifted but underprivileged Mumbai teens face bigotry and disapproval as they pursue their dancing dreams.",Sooni Taraporevala,7.5
Shaadi Karke Phas Gaya Yaar,"Ayaan tricks a model into marrying him, when she leaves her diary in his family's garage, allowing him to follow her around.",K.S. Adiyaman,4.0
Bade Dilwala,"A police officer Ram (Sunil Shetty), a man of his word. His wife Manthara (Archana Puran Singh) is obsessed with money and neglects her family in pursuit of getting rich quick. She forces ...                See full summary »",Shakeel Noorani,3.7
Barot House,A series of inexplicable and gruesome killings tear the Barot family apart and destroy the close relationship between father and son. Who could be behind this mindless slaughter? When the ...                See full summary »,Bugs Bhargava Krishna,7.2
Karzzzz,"A singer/dancer, while on tour, starts hallucinating and having visions of having been there before.",Satish Kaushik,2.3
Samrat & Co.,A small town tycoon gets murdered. The daughter hires a private investigator to catch the real culprit.,Kaushik Ghatak,6.2
Aashayein,A man meets with assorted characters in a nursing home after being diagnosed with cancer.,Nagesh Kukunoor,7.0
Pizza,A Pizza delivery boy's mundane life takes a horrifying turn when he is sent to make a delivery to the home of a family who have a dark secret. Will he be able to overcome the evil that lurks in the shadows and live to tell his tale?,Akshay Akkineni,6.2
Jail,"Remanded to policy custody, a man reviews his options in an overcrowded jail while awaiting trial.",Madhur Bhandarkar,6.2
Ajooba,"The evil Vizier of Baharistan kills the royal family and takes power himself but the real crown prince, who has survived his machinations, returns to his homeland to avenge his parents as a masked vigilante 'Ajooba'.",Shashi Kapoor,5.1
Zid,"A journalist, who is still in love with his ex-girlfriend, becomes the obsession of his landlord's daughter.",Vivek Agnihotri,4.4
16 December,Indian intelligence agents race against time to stop a renegade Pakistani terrorist from detonating a nuclear weapon in Delhi.,Mani Shankar,6.9
Tum Bin 2,"After a skiing accident, Taran thinks her fiance is dead and grieves for months. Soon, Shekhar enters her life, helps her rediscover happiness, and falls in love with her.",Anubhav Sinha,4.7
One Night Stand,The story is about Urvil Raisingh and Celina who meet at an event and a memorable night later. Returning back home they continue with their lives. The memories of Celina haunt Urvil. What happens next forms the crux of the unfolding drama. One Night Stand explores the hypocritical world we live in. What is it that Urvil wants?,Jasmine D'Souza,3.1
Nasha,"A teenage boy becomes smitten with his new drama teacher and pursues her, despite the perilous risks of being found out.",Amit Saxena,3.2
Barsaat,"A naive young man and a rich city girl fall in love. Her stepfather, however, doesn't approve of the match and will stop at nothing to split the pair.",Rajkumar Santoshi,5.6
Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi,"Nobita and Doraemon find a giant robot in pieces, which they later assemble and it turns out to be a destructive weapon. A girl comes searching for the robot. Will Nobita and gang be able to save earth from imminent invasion.",Yukiyo Teramoto,7.7
Bangistan,"Two blundering terrorists with lofty ideologies, but ordinary talent, are on a mission to change the world.",Karan Anshuman,4.5
Laadla,"The headstrong owner of a factory, Sheetal, marries Raju, the union leader of the factory, to quell his spirit and teach him a lesson. In the process, she ends up learning a few lessons herself.",Raj Kanwar,5.8
Road,"A couple decide to pick up a hitchhiker, but he ends up being a psychotic stalker who puts in them in danger.",Rajat Mukherjee,5.7
Jis Desh Mein Ganga Rehta Hain,Gangaram alias Ganga has been raised by his foster parents who reside in the village thus he gets accustom to village life. 24 years later his birth parents multi-millionaire Avinash and ...                See full summary »,Mahesh Manjrekar,4.9
